Category,City,Country/Region,Manufacturer,Order Date,Order ID,Product Name,Region,Segment,Ship Date,Ship Mode,State/Province,Sub-Category,Discount,Profit,Quantity,Sales
Office Supplies,Houston,United States,Message Book,2021-01-03,US-2021-103800,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Central,Consumer,2021-01-07,Standard Class,Texas,Paper,0.2,5.5512,2,16.448
Office Supplies,Naperville,United States,GBC,2021-01-04,US-2021-112326,GBC Standard Plastic Binding Systems Combs,Central,Home Office,2021-01-08,Standard Class,Illinois,Binders,0.8,-5.487,2,3.54
Office Supplies,Naperville,United States,Avery,2021-01-04,US-2021-112326,Avery 508,Central,Home Office,2021-01-08,Standard Class,Illinois,Labels,0.2,4.2717,3,11.784
Office Supplies,Naperville,United States,SAFCO,2021-01-04,US-2021-112326,SAFCO Boltless Steel Shelving,Central,Home Office,2021-01-08,Standard Class,Illinois,Storage,0.2,-64.7748,3,272.736
Office Supplies,Philadelphia,United States,Avery,2021-01-05,US-2021-141817,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",East,Consumer,2021-01-12,Standard Class,Pennsylvania,Art,0.2,4.884,3,19.536
Office Supplies,Henderson,United States,Rogers,2021-01-06,US-2021-167199,Rogers Handheld Barrel Pencil Sharpener,South,Home Office,2021-01-10,Standard Class,Kentucky,Art,0,1.4796,2,5.48
Office Supplies,Athens,United States,Dixon,2021-01-06,US-2021-106054,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",South,Corporate,2021-01-07,First Class,Georgia,Art,0,5.2398,3,12.78
Office Supplies,Henderson,United States,Ibico,2021-01-06,US-2021-167199,Ibico Hi-Tech Manual Binding System,South,Home Office,2021-01-10,Standard Class,Kentucky,Binders,0,274.491,2,609.98
Office Supplies,Henderson,United States,Alliance,2021-01-06,US-2021-167199,"Alliance Super-Size Bands, Assorted Sizes",South,Home Office,2021-01-10,Standard Class,Kentucky,Fasteners,0,0.3112,4,31.12
Office Supplies,Henderson,United States,Southworth,2021-01-06,US-2021-167199,Southworth 25% Cotton Granite Paper & Envelopes,South,Home Office,2021-01-10,Standard Class,Kentucky,Paper,0,3.0084,1,6.54
Office Supplies,Los Angeles,United States,Xerox,2021-01-06,US-2021-130813,Xerox 225,West,Consumer,2021-01-08,Second Class,California,Paper,0,9.3312,3,19.44
Technology,Henderson,United States,Other,2021-01-06,US-2021-167199,Wireless Extenders zBoost YX545 SOHO Signal Booster,South,Home Office,2021-01-10,Standard Class,Kentucky,Phones,0,204.1092,4,755.96
Technology,Henderson,United States,GE,2021-01-06,US-2021-167199,GE 30524EE4,South,Home Office,2021-01-10,Standard Class,Kentucky,Phones,0,113.6742,2,391.98
Furniture,Huntsville,United States,Howard Miller,2021-01-07,US-2021-105417,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Central,Consumer,2021-01-12,Standard Class,Texas,Furnishings,0.6,-53.7096,3,76.728
Office Supplies,Huntsville,United States,Acco,2021-01-07,US-2021-105417,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Central,Consumer,2021-01-12,Standard Class,Texas,Binders,0.8,-18.2525,7,10.43
Office Supplies,Laredo,United States,Newell,2021-01-09,US-2021-135405,Newell 312,Central,Consumer,2021-01-13,Standard Class,Texas,Art,0.2,1.168,2,9.344
Technology,Laredo,United States,Memorex,2021-01-09,US-2021-135405,Memorex Micro Travel Drive 8 GB,Central,Consumer,2021-01-13,Standard Class,Texas,Accessories,0.2,9.75,3,31.2
Furniture,Springfield,United States,Howard Miller,2021-01-10,US-2021-149020,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",South,Corporate,2021-01-15,Standard Class,Virginia,Furnishings,0,21.2954,1,51.94
Office Supplies,Springfield,United States,Avery,2021-01-10,US-2021-149020,Avery 482,South,Corporate,2021-01-15,Standard Class,Virginia,Labels,0,1.3583,1,2.89
Furniture,Dover,United States,DAX,2021-01-11,US-2021-130092,"DAX Value U-Channel Document Frames, Easel Back",East,Consumer,2021-01-14,First Class,Delaware,Furnishings,0,3.0814,2,9.94
Furniture,San Francisco,United States,O'Sullivan,2021-01-13,US-2021-157147,"O'Sullivan Elevations Bookcase, Cherry Finish",West,Consumer,2021-01-18,Standard Class,California,Bookcases,0.15,3.9294,3,333.999
Furniture,Mount Pleasant,United States,Global,2021-01-13,US-2021-109232,Global Highback Leather Tilter in Burgundy,South,Consumer,2021-01-16,Second Class,South Carolina,Chairs,0,87.3504,6,545.94
Office Supplies,San Francisco,United States,Other,2021-01-13,US-2021-157147,4009 Highlighters by Sanford,West,Consumer,2021-01-18,Standard Class,California,Art,0,6.567,5,19.9
Office Supplies,Newark,United States,Avery,2021-01-13,US-2021-118192,Avery Metallic Poly Binders,East,Consumer,2021-01-18,Standard Class,Ohio,Binders,0.7,-2.5212,2,3.438
Office Supplies,Bossier City,United States,3-ring staple pack,2021-01-13,US-2021-162775,3-ring staple pack,South,Corporate,2021-01-15,Second Class,Louisiana,Binders,0,2.7072,3,5.64
Office Supplies,Bossier City,United States,Other,2021-01-13,US-2021-162775,Brown Kraft Recycled Envelopes,South,Corporate,2021-01-15,Second Class,Louisiana,Envelopes,0,25.47,3,50.94
Office Supplies,Bossier City,United States,Staple envelope,2021-01-13,US-2021-162775,Staple envelope,South,Corporate,2021-01-15,Second Class,Louisiana,Envelopes,0,5.3392,2,11.36
Office Supplies,Newark,United States,Xerox,2021-01-13,US-2021-118192,Xerox 1923,East,Consumer,2021-01-18,Standard Class,Ohio,Paper,0.2,13.0928,7,37.408
Office Supplies,Bossier City,United States,Fellowes,2021-01-13,US-2021-162775,Fellowes Stor/Drawer Steel Plus Storage Drawers,South,Corporate,2021-01-15,Second Class,Louisiana,Storage,0,34.3548,6,572.58
Office Supplies,San Francisco,United States,Tennsco,2021-01-13,US-2021-157147,Tennsco 6- and 18-Compartment Lockers,West,Consumer,2021-01-18,Standard Class,California,Storage,0,238.653,5,1325.85
Technology,Bossier City,United States,Plantronics,2021-01-13,US-2021-162775,Plantronics S12 Corded Telephone Headset System,South,Corporate,2021-01-15,Second Class,Louisiana,Accessories,0,258.696,6,646.74
Furniture,Philadelphia,United States,Sauder,2021-01-14,US-2021-149524,Sauder Cornerstone Collection Library,East,Corporate,2021-01-15,First Class,Pennsylvania,Bookcases,0.5,-53.2856,4,61.96
Technology,Roswell,United States,Logitech,2021-01-15,US-2021-103366,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,South,Consumer,2021-01-17,First Class,Georgia,Accessories,0,65.978,5,149.95
Furniture,Philadelphia,United States,DAX,2021-01-16,US-2021-115791,DAX Black Cherry Wood-Tone Poster Frame,East,Consumer,2021-01-18,Second Class,Pennsylvania,Furnishings,0.2,28.5984,6,127.104
